Round,Player A,Player B,Winner,Score A,Score B
1° turno,C. Alcaraz,Bye,C. Alcaraz,,
1° turno,T. Atmane,G. Dimitrov,,,
1° turno,J. Cerundolo,B. van de Zandschulp,,,
1° turno,Bye,A. Rinderknech,,,
1° turno,V. Vacherot,Bye,V. Vacherot,,
1° turno,N. Borges,E. Nava,,,
1° turno,A. Shevchenko,S. Shimabukuro,,,
1° turno,Bye,C. Ruud,,,
1° turno,A. Bublik,Bye,A. Bublik,,
1° turno,M. Zheng,V. Kopriva,,,
1° turno,F. Maestrelli,R. Hijikata,,,
1° turno,Bye,L. Darderi,,,
1° turno,C. Norrie,Bye,C. Norrie,,
1° turno,M. Arnaldi,M. McDonald,,,
1° turno,S. Korda,F. Comesana,,,
1° turno,Bye,A. de Minaur,,,
1° turno,N. Djokovic,Bye,N. Djokovic,,
1° turno,K. Majchrzak,G. Mpetshi Perricard,,,
1° turno,H. Hurkacz,A. Kovacevic,,,
1° turno,Bye,C. Moutet,,,
1° turno,F. Cerundolo,Bye,F. Cerundolo,,
1° turno,V. Royer,B. Bonzi,,,
1° turno,F. Marozsan,R. Bautista Agut,,,
1° turno,Bye,J. Draper,,,
1° turno,D. Medvedev,Bye,D. Medvedev,,
1° turno,A. Tabilo,R. Jodar,,,
1° turno,C. Tseng,S. Baez,,,
1° turno,Bye,J. Lehecka,,,
1° turno,U. Humbert,Bye,U. Humbert,,
1° turno,D. Merida,A. Michelsen,,,
1° turno,J. Fearnley,D. Dzumhur,,,
1° turno,Bye,T. Fritz,,,
1° turno,L. Musetti,Bye,L. Musetti,,
1° turno,M. Fucsovics,C. O'Connell,,,
1° turno,D. Prizmic,T. Schoolkate,,,
1° turno,Bye,A. Fils,,,
1° turno,A. Rublev,Bye,A. Rublev,,
1° turno,M. Bellucci,G. Diallo,,,
1° turno,G. Monfils,A. Galarneau,,,
1° turno,Bye,F. Auger-Aliassime,,,
1° turno,F. Cobolli,Bye,F. Cobolli,,
1° turno,D. Altmaier,M. Kecmanovic,,,
1° turno,J. Brooksby,A. Popyrin,,,
1° turno,Bye,F. Tiafoe,,,
1° turno,B. Nakashima,Bye,B. Nakashima,,
1° turno,C. Ugo Carabelli,M. Damm,,,
1° turno,M. Berrettini,A. Mannarino,,,
1° turno,Bye,A. Zverev,,,
1° turno,B. Shelton,Bye,B. Shelton,,
1° turno,R. Opelka,E. Quinn,,,
1° turno,Q. Halys,A. Walton,,,
1° turno,Bye,L. Tien,,,
1° turno,A. Davidovich Fokina,Bye,A. Davidovich Fokina,,
1° turno,Z. Svajda,M. Cilic,,,
1° turno,M. Navone,M. Giron,,,
1° turno,Bye,J. Mensik,,,
1° turno,K. Khachanov,Bye,K. Khachanov,,
1° turno,J. Fonseca,R. Collignon,,,
1° turno,Z. Bergs,J. Struff,,,
1° turno,Bye,T. Paul,,,
1° turno,T. Etcheverry,Bye,T. Etcheverry,,
1° turno,S. Tsitsipas,D. Shapovalov,,,
1° turno,D. Svrcina,J. Duckworth,,,
1° turno,Bye,J. Sinner,,,
1° turno,C. Alcaraz,G. Dimitrov,,,
1° turno,J. Cerundolo,A. Rinderknech,,,
1° turno,V. Vacherot,N. Borges,,,
1° turno,A. Shevchenko,C. Ruud,,,
1° turno,A. Bublik,V. Kopriva,,,
1° turno,R. Hijikata,L. Darderi,,,
1° turno,C. Norrie,M. McDonald,,,
1° turno,S. Korda,A. de Minaur,,,
1° turno,N. Djokovic,K. Majchrzak,,,
1° turno,A. Kovacevic,C. Moutet,,,
1° turno,F. Cerundolo,B. Bonzi,,,
1° turno,R. Bautista Agut,J. Draper,,,
1° turno,D. Medvedev,A. Tabilo,,,
1° turno,S. Baez,J. Lehecka,,,
1° turno,U. Humbert,A. Michelsen,,,
1° turno,J. Fearnley,T. Fritz,,,
1° turno,L. Musetti,M. Fucsovics,,,
1° turno,D. Prizmic,A. Fils,,,
1° turno,A. Rublev,G. Diallo,,,
1° turno,G. Monfils,F. Auger-Aliassime,,,
1° turno,F. Cobolli,M. Kecmanovic,,,
1° turno,J. Brooksby,F. Tiafoe,,,
1° turno,B. Nakashima,C. Ugo Carabelli,,,
1° turno,M. Berrettini,A. Zverev,,,
1° turno,B. Shelton,R. Opelka,,,
1° turno,A. Walton,L. Tien,,,
1° turno,A. Davidovich Fokina,Z. Svajda,,,
1° turno,M. Giron,J. Mensik,,,
1° turno,K. Khachanov,J. Fonseca,,,
1° turno,Z. Bergs,T. Paul,,,
1° turno,T. Etcheverry,D. Shapovalov,,,
1° turno,D. Svrcina,J. Sinner,,,
1° turno,C. Alcaraz,A. Rinderknech,,,
1° turno,V. Vacherot,C. Ruud,,,
1° turno,A. Bublik,R. Hijikata,,,
1° turno,C. Norrie,A. de Minaur,,,
1° turno,N. Djokovic,A. Kovacevic,,,
1° turno,F. Cerundolo,J. Draper,,,
1° turno,D. Medvedev,S. Baez,,,
1° turno,A. Michelsen,T. Fritz,,,
1° turno,M. Fucsovics,A. Fils,,,
1° turno,G. Diallo,F. Auger-Aliassime,,,
1° turno,F. Cobolli,F. Tiafoe,,,
1° turno,B. Nakashima,A. Zverev,,,
1° turno,B. Shelton,L. Tien,,,
1° turno,A. Davidovich Fokina,J. Mensik,,,
1° turno,J. Fonseca,T. Paul,,,
1° turno,D. Shapovalov,J. Sinner,,,
1° turno,C. Alcaraz,C. Ruud,,,
1° turno,R. Hijikata,C. Norrie,,,
1° turno,N. Djokovic,J. Draper,,,
1° turno,D. Medvedev,A. Michelsen,,,
1° turno,A. Fils,F. Auger-Aliassime,,,
1° turno,F. Tiafoe,A. Zverev,,,
1° turno,L. Tien,A. Davidovich Fokina,,,
1° turno,J. Fonseca,J. Sinner,,,
1° turno,C. Alcaraz,C. Norrie,,,
1° turno,J. Draper,D. Medvedev,,,
1° turno,A. Fils,A. Zverev,,,
1° turno,L. Tien,J. Sinner,,,
1° turno,C. Alcaraz,D. Medvedev,,,
1° turno,A. Zverev,J. Sinner,,,
1° turno,D. Medvedev,J. Sinner,,,
